Date,Location,shad.per.second,shad.per.min,Temp
6/2/2025,Santee,0.0003,0.018,21.6
6/2/2025,Congaree,0.0033,0.198,21.6
6/16/2025,Santee,0.0069,0.414,25.6
6/16/2025,Congaree,0.0004,0.024,25.6
7/8/2025,Santee,0.0295,1.77,
7/8/2025,Congaree,0.0093,0.558,
8/13/2025,Santee,0.0103,0.618,24
8/13/2025,Congaree,0.0022,0.132,24
9/10/2025,Santee,0.0056,0.336,24.7
9/10/2025,Congaree,0.003,0.18,24.7
9/24/2025,Santee,0.0033,0.198,25.4
9/24/2025,Congaree,0,0,25.4
10/8/2025,Santee,0.0067,0.402,23.4
10/8/2025,Congaree,0.0048,0.288,23.4
