Year,Santee.geo,Congaree.geo,Edisto.geo,Savannah.geo,GPD.geo
2013,0.009,0.0076,0.0001,0.0001,0.0001
2014,0.0085,0.0073,0.005,0.0043,0.0248
2015,0.0077,0.0111,0.006,0.0039,0.0082
2016,0.0054,0.0146,0.0001,0.0001,0.0001
2017,0.0122,0.011,0.001,0.003,0.0083
2018,0.0091,0.0077,0.0015,0.0016,0.014
2019,0.0071,0.0051,0.0014,0.0008,0.0094
2020,0.0046,0.0043,0.0008,0.0015,0.0043
2021,0.0123,0.0082,0.0022,0.0018,0.0109
2022,0.0102,0.0122,0.0042,0.0022,0.0074
2023,0.0067,0.0077,0.0015,0.0018,0.0045
2024,0.0184,0.0056,0.0018,0.0009,0.0052
2025,0.0062,0.0035,,0.0008,0.0132
