Year,AMS.collected,Main.effort.seconds,Congaree.seconds,Santee.seconds,FULL.Effort.seconds,FULL.AMS
2009,959,86935,42249,44686,122935,1778
2010,1285,107038,47040,59998,157766,2832
2011,1265,83700,35100,48600,142200,3124
2012,1675,113400,48600,64800,165600,2196
2013,1458,113400,48600,64800,159600,2222
2014,1286,119700,51300,68400,162900,2962
2015,1031,75300,32100,43200,112300,2288
2016,741,60300,24300,36000,88200,909
2017,1697,87300,37800,49500,132450,1882
2018,1111,94500,40500,54000,140460,2075
2019,624,73800,31500,42300,109470,1091
2020,427,77825,33905,43920,113825,779
2021,1561,98115,40515,57600,146345,2844
2022,1673,104423,45923,58500,140165,2284
2023,1108,113400,48600,64800,142200,1492
2024,1567,58500,24300,34200,58500,1567
2025,391,50267,21600,28667,50267,391
